FID,AREA,PERIMETER,OVGPW95C_,OVGPW95C_I,VEG_TYPE,LUC_LEVEL2,FID2
2,207182016.6,136642.3319,22,21,3,0,1
7,1131540308,572236.9474,78,77,1,0,2
8,161184194.8,153815.6899,79,78,5,0,3
13,106397924,106369.9452,165,164,6,0,4
14,464523760.2,370621.8737,193,192,1,0,5
16,259187835,327590.2207,196,195,5,0,6
21,20995382214,14116366.49,226,225,3,0,7
30,129742129.6,165732.5092,361,360,14,0,8
31,2862615337,2074119.535,367,366,6,0,9
34,164446166.3,177275.81,416,415,4,0,10
36,174096282,253474.2587,451,450,7,0,11
41,160731106.2,200421.8805,577,576,5,0,12
44,194521879.1,240511.2119,669,668,3,0,13
45,219080579.4,315348.3683,708,707,14,0,14
47,569391617.2,789976.071,799,798,14,0,15
49,363756973.7,469351.0402,818,817,14,0,16
52,239764059.5,245057.432,1007,1005,4,0,17
53,209589111.7,215174.5476,1073,1071,14,0,18
55,1699512835,2385913.545,1141,1139,5,0,19
56,224383597.4,245653.3,1173,1171,5,0,20
69,125719636.2,238747.0042,1750,1746,3,0,21
79,335157518.1,207682.2754,2276,2270,6,0,22
82,398123577.3,510989.3632,2420,2413,14,0,23
87,732325584,527481.504,2590,2582,4,0,24
94,186773686.3,227674.4034,2774,2765,3,0,25
95,2164479425,1512324.434,2789,2780,4,0,26
98,342999690.3,308646.1736,2810,2801,5,0,27
103,537169953.1,467809.5881,2888,2879,9,0,28
107,310718608.9,439117.1257,3038,3029,14,0,29
108,787248456.3,608057.8539,3337,3328,6,0,30
110,144668378.5,130090.9658,3377,3367,6,0,31
116,137801297.3,173260.0477,3648,3638,3,0,32
119,302413643.8,296157.998,3764,3754,4,0,33
121,178855494.7,265088.8546,3911,3901,6,0,34
133,237001572.7,245648.6186,4262,4252,10,0,35
140,322280716.4,241904.9907,4376,4366,7,0,36
144,499272233.3,391073.0377,4409,4399,2,0,37
148,103183589.8,183181.4311,4642,4632,14,0,38
162,181035127.6,214905.8483,4975,4965,2,0,39
167,200556233.1,220226.1825,5149,5138,14,0,40
168,942992045.8,926019.4135,5158,5148,2,0,41
169,228578541.1,176526.4325,5204,5193,4,0,42
171,217479503.1,249696.2671,5251,5240,9,0,43
172,622174385.7,476467.9709,5284,5273,13,0,44
175,115074530,93383.43828,5388,5377,13,0,45
176,625201217,309925.1611,5422,5411,12,0,46
183,165281484.8,159218.2869,5578,5567,6,0,47
185,2114627450,1504384.051,5701,5690,4,0,48
186,149427541.8,133694.0796,5733,5722,14,0,49
187,155565351.6,139746.2106,5752,5741,2,0,50
188,272167767.9,254389.1229,5757,5746,4,0,51
194,146987270.9,142560.1715,5836,5825,3,0,52
198,150176634.8,169387.8864,5970,5959,2,0,53
201,1550824124,507734.5943,6053,6042,9,0,54
215,123419748.6,174911.2692,6225,6214,3,0,55
217,109603972.9,157335.6997,6248,6237,6,0,56
223,334685416.4,230610.9901,6344,6333,6,0,57
225,1097024771,919662.0408,6393,6382,2,0,58
232,235922698,252153.8328,6476,6465,14,0,59
236,132759635.5,131149.4628,6500,6489,14,0,60
240,133642323.8,155612.6591,6528,6517,3,0,61
241,178482653.3,205441.7675,6532,6521,12,0,62
245,137518162.9,80439.31692,6591,6580,11,0,63
250,452832292.6,286122.2529,6656,6645,13,0,64
252,191752867.6,164953.7305,6679,6668,5,0,65
257,237112193.4,218839.8901,6716,6705,11,0,66
259,221792000.8,181312.2416,6732,6721,9,0,67
261,250268261.3,307105.8721,6746,6735,14,0,68
267,1668868845,1290432.528,6838,6827,10,0,69
273,249281037.1,208082.9105,6940,6929,3,0,70
275,1137509105,952205.7023,6981,6969,6,0,71
283,493825342.9,399545.2772,7033,7021,8,0,72
285,214566878.1,173341.4568,7059,7047,10,0,73
292,2010627060,1535159.49,7152,7140,10,0,74
310,254239177,260958.9736,7274,7263,13,0,75
323,368639456.7,278047.7564,7376,7365,5,0,76
327,1352972022,1173813.042,7417,7405,11,0,77
330,167456890.3,148878.4847,7465,7453,9,0,78
339,171164929.3,354564.1747,7538,7526,0,53,79
341,3354168832,1704125.803,7554,7542,8,0,80
347,156032912.5,192075.3369,7646,7633,6,0,81
349,214429366,199786.039,7663,7651,14,0,82
352,328190082.8,350927.0404,7694,7682,14,0,83
361,170008211.2,176169.082,7793,7781,9,0,84
365,618785626.8,382140.8507,7842,7829,6,0,85
367,454233454.4,365723.3528,7854,7841,9,0,86
368,120676366.7,115881.8373,7878,7865,11,0,87
372,423802135,228922.2829,7967,7954,16,0,88
375,183529990.8,138759.7024,8011,7997,10,0,89
377,274472599.5,215892.914,8046,8032,6,0,90
383,207724207.1,170576.406,8101,8086,11,0,91
386,527954367.2,127792.8094,8133,8117,0,52,92
389,280083183.3,214955.7833,8179,8162,10,0,93
391,105325868.5,127600.0832,8218,8201,0,52,94
397,121639805.9,96753.08241,8319,8302,9,0,95
398,181568346.4,67760.03104,8321,8304,99,0,96
405,738513300.7,808584.315,8444,8427,11,0,97
413,128547847.4,94622.50525,8535,8518,6,0,98
414,187309779.1,247850.8934,8555,8538,11,0,99
417,1147541623,770029.8915,8620,8603,10,0,100
418,1137156912,864065.0025,8621,8604,10,0,101
419,253070011.7,378163.0866,8622,8605,16,0,102
420,207383278.7,133005.661,8633,8616,9,0,103
423,165843602,152008.3313,8689,8672,9,0,104
424,142540101,115629.5701,8693,8676,11,0,105
426,417680604.3,450536.5147,8699,8682,11,0,106
431,217261177.6,168885.5642,8775,8758,12,0,107
435,222639973.7,183023.3978,8809,8793,10,0,108
442,118714670.3,201242.8909,8956,8937,16,0,109
446,2475992006,798198.7648,8979,8960,9,0,110
448,4851755411,4365048.28,9027,9006,10,0,111
449,151923598.8,162320.4559,9039,9018,11,0,112
452,343049306.3,219077.2645,9066,9044,10,0,113
454,145342927.3,138841.6356,9078,9056,10,0,114
459,1618032432,1141005.461,9137,9115,9,0,115
467,120727964.7,105801.1411,9218,9196,16,0,116
470,450385863.5,443665.5637,9281,9259,10,0,117
481,381563288.8,369866.6089,9376,9354,11,0,118
489,181138999.2,141416.7693,9524,9502,9,0,119
491,268473156,272733.3728,9547,9525,11,0,120
494,184697342,178240.3549,9615,9591,10,0,121
496,132290561.1,242301.3181,9620,9596,16,0,122
498,105158124.5,64506.35326,9667,9643,11,0,123
499,517502278.1,397841.6612,9669,9645,12,0,124
505,371289668.5,290314.7048,9723,9697,11,0,125
506,109359533,140414.159,9736,9710,10,0,126
518,578805423.1,545913.5453,9849,9823,9,0,127
520,676235650.8,496080.2221,9909,9883,9,0,128
523,1947539669,936542.4834,9979,9953,11,0,129
524,333330808.9,334178.4285,10032,10005,11,0,130
527,573250656,482316.4903,10067,10039,11,0,131
528,134196553.9,123282.6254,10110,10082,10,0,132
532,1176372934,770760.8078,10249,10218,12,0,133
533,104356524,145139.0169,10254,10223,12,0,134
534,568891243.8,318364.9134,10259,10228,11,0,135
541,184628823.2,117698.7687,10441,10407,12,0,136
542,110564054.3,128943.3018,10445,10411,10,0,137
543,389571227,319316.6471,10450,10416,11,0,138
550,184263161.7,116650.3226,10625,10591,9,0,139
552,228993629.3,181029.5581,10656,10622,12,0,140
555,106762077,57531.89867,10680,10644,9,0,141
557,178575790.9,151962.8718,10713,10677,10,0,142
564,493992744.7,228611.5296,10802,10766,12,0,143
565,371067168.6,254404.4471,10820,10784,12,0,144
567,140213872.4,111265.7528,10833,10796,12,0,145
573,159295397.7,198545.89,10867,10829,10,0,146
